Entry Date,Exit Date,Direction,Entry Price,Exit Price,Return,Duration,window,num_std,Sharpe,Max Drawdown,Final Return,Win Rate
2017-02-09,2017-02-16,Long,1.06526,1.06681,0.0014550438390627078,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-02-21,2017-03-03,Long,1.05354,1.06182,0.007859217495301617,10,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-03-10,2017-03-29,Short,1.067,1.07649,-0.008894095595126522,19,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-03-30,2017-04-12,Long,1.06841,1.06665,-0.00164730768150802,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-04-18,2017-05-09,Short,1.07289,1.08819,-0.014260548611693737,21,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-05-16,2017-05-29,Short,1.10946,1.11385,-0.003956879923566524,13,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-06-02,2017-06-08,Short,1.1279,1.12034,0.006702721872506439,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-06-15,2017-06-23,Long,1.11462,1.1183,0.003301573630475075,8,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-06-27,2017-07-13,Short,1.1343,1.13957,-0.004646037203561567,16,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-07-14,2017-08-08,Short,1.14613,1.17592,-0.025991815937110085,25,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-08-17,2017-08-21,Long,1.17266,1.18093,0.0070523425374788935,4,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-08-25,2017-09-01,Short,1.1924,1.1857,0.0056189198255618324,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-09-07,2017-09-13,Short,1.20187,1.18934,0.010425420386564212,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-09-25,2017-10-10,Long,1.18554,1.18107,-0.003770433726403136,15,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-10-11,2017-10-17,Short,1.18627,1.17682,0.007966145987001239,6,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-10-23,2017-10-25,Long,1.17494,1.18153,0.005608797044955379,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-10-26,2017-11-09,Long,1.16455,1.16432,-0.00019750118071353953,14,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-11-14,2017-12-05,Short,1.17979,1.18285,-0.00259368192644459,21,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-12-06,2017-12-13,Long,1.18026,1.18256,0.0019487231626929393,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2017-12-19,2018-01-08,Short,1.18415,1.19678,-0.010665878478233264,20,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-01-12,2018-02-05,Short,1.21991,1.23755,-0.014460083120885866,24,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-02-07,2018-02-14,Long,1.22535,1.24538,0.01634635002244256,7,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-02-15,2018-02-20,Short,1.25003,1.2333,0.013383678791708929,5,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-02-27,2018-03-02,Long,1.22351,1.2317,0.006693856200603116,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-03-06,2018-03-09,Short,1.24206,1.23054,0.009274914255349964,3,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-03-20,2018-03-21,Long,1.22453,1.23421,0.007905073783410887,1,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-03-26,2018-03-28,Short,1.2451,1.23095,0.011364549032206333,2,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
2018-04-10,2018-04-19,Short,1.2356,1.23419,0.0011411460019424842,9,10,1.4,0.207179998400758,-0.20300743741830996,1.2799494580539374,0.659
